rank,name,lat,lon,category_name,review_count,review_rating,thumbnail,address
1,봉수육,37.29895782470703,126.96993255615234,"족발,보쌈",79.0,4.08,http://t1.daumcdn.net/place/CE93EDC288154EA58AC66DFD1515C2A8,경기도 수원시 장안구 율전동
2,율천회관,37.2978401184082,126.97297668457031,한식,23.0,4.47,http://t1.daumcdn.net/place/298A143F5A1B4D48992EB0F9E14B996C,경기도 수원시 장안구 율전동
3,쟈스민,37.29922866821289,126.97299194335938,베트남음식,97.0,4.93,http://t1.kakaocdn.net/fiy_reboot/place/B2158DD55E8849E7B0C147B2962B4103,경기도 수원시 장안구 율전동
4,카마타케제면소 성균관대역사점,37.300148010253906,126.97225952148438,"돈까스,우동",78.0,4.2,http://t1.daumcdn.net/place/21D4D3ECE8724317B3AF3BA7BDB34E3C,경기도 수원시 장안구 율전동
5,일성,37.29753494262695,126.96867370605469,일식,23.0,4.08,http://t1.kakaocdn.net/mystore/BDE547B5516541EFA19EDB6DE05E8EB3,경기도 수원시 장안구 율전동
6,만다,37.29707717895508,126.96965026855469,한식,45.0,4.51,http://t1.daumcdn.net/place/262C78FFCDA34D899CD87534C565313C,경기도 수원시 장안구 율전동
7,텐푸라바사바사,37.2969970703125,126.97095489501953,일식,23.0,4.47,http://t1.daumcdn.net/place/2DD560EEAE2E45019B2A2A59FFD1DBA6,경기도 수원시 장안구 율전동
8,오아저씨철판,37.297950744628906,126.9723892211914,철판요리,11.0,4.72,http://t1.daumcdn.net/place/AE6699A80EA5486FBB4DE882B948FCE7,경기도 수원시 장안구 율전동
9,히닭발,37.29789733886719,126.96949768066406,닭요리,12.0,4.41,http://t1.daumcdn.net/localfiy/59B863E54AEC47D7B9179EDD68D491C5,경기도 수원시 장안구 율전동
10,오스테리아우노,37.298065185546875,126.96919250488281,이탈리안,53.0,4.07,http://t1.daumcdn.net/place/AE6CCBBEA6304BADAF283CFAED05DD35,경기도 수원시 장안구 율전동
11,아늑,37.29758834838867,126.97200775146484,이탈리안,61.0,4.04,http://t1.kakaocdn.net/mystore/C8ABF5FD080C4FB0A88309F414FD0B40,경기도 수원시 장안구 율전동
12,나츠비,37.297122955322266,126.9715805053711,일식,84.0,4.79,http://t1.kakaocdn.net/mystore/8A9AD100FAFD4EBB84B8CAB033679E78,경기도 수원시 장안구 율전동
