rank,name,lat,lon,category,category_name,review_count,review_rating,thumbnail,address
1,자명문,37.299259185791016,126.96996307373047,category_cafe,카페,39.0,4.53,http://t1.daumcdn.net/place/4E44E7B37C3B4695AC6B1F8955EA178D,경기도 수원시 장안구 율전동
2,카페다움,37.29818344116211,126.97216796875,category_cafe,카페,7.0,4.85,http://t1.daumcdn.net/place/D5CAE18B58D24C9E882F687679D0C5F0,경기도 수원시 장안구 율전동
3,오르카커피룸,37.29973602294922,126.97071075439453,category_cafe,커피전문점,33.0,4.72,http://t1.kakaocdn.net/mystore/CEFC2FAAF85240A3B3C1A95A264EFA80,경기도 수원시 장안구 율전동
4,하우짓 블랙,37.29850387573242,126.972412109375,category_cafe,커피전문점,16.0,4.68,http://t1.kakaocdn.net/mystore/3AE2601611D043AC84C30A921900734A,경기도 수원시 장안구 율전동
5,웅이네,37.29735565185547,126.96857452392578,category_cafe,디저트카페,15.0,4.4,http://t1.kakaocdn.net/mystore/CEE4FAEE562E4230A2BA27CB3B573495,경기도 수원시 장안구 율전동
6,라잌댓,37.30121994018555,126.97201538085938,category_cafe,카페,28.0,3.53,http://t1.daumcdn.net/localfiy/searchregister_707063057,경기도 수원시 장안구 율전동
7,아이엠바리스타,37.2987060546875,126.97227478027344,category_cafe,커피전문점,21.0,4.38,http://t1.daumcdn.net/place/E1892EB2FA0845538585C38851B73E89,경기도 수원시 장안구 율전동
8,카페로디,37.29903793334961,126.97285461425781,category_cafe,카페,6.0,4.66,http://t1.kakaocdn.net/mystore/5BC06117A48C4FF39E233D39FB66548E,경기도 수원시 장안구 율전동
9,낫얼론(Not alone),37.29915237426758,126.97315216064453,category_cafe,카페,17.0,5.0,http://t1.kakaocdn.net/mystore/D6B979E9F2C84E4A986825BB51DD37E2,경기도 수원시 장안구 율전동
10,르디망슈,37.29889678955078,126.9687271118164,category_cafe,디저트카페,24.0,4.33,http://t1.kakaocdn.net/mystore/14A321EEC8EB45BFB1ED121F3028F3D2,경기도 수원시 장안구 율전동
11,사거리다방,37.29713821411133,126.9682846069336,category_cafe,카페,21.0,4.33,http://t1.daumcdn.net/place/669CC6058CDC46BE9DF83E17B6462F9A,경기도 수원시 장안구 율전동
12,마이요거트립 성균관대역점,37.29975509643555,126.97054290771484,category_cafe,디저트카페,15.0,5.0,http://t1.daumcdn.net/place/671E7177D99A488A8B2467928BE43FA8,경기도 수원시 장안구 율전동
13,쉬즈베이글 수원성대점,37.29713439941406,126.97157287597656,category_cafe,카페,,,,경기도 수원시 장안구 율전동
14,카페롤랑,37.29764175415039,126.96749877929688,category_cafe,디저트카페,16.0,4.5,http://t1.kakaocdn.net/fiy_reboot/place/647E5A7CEA114FD0B5CFD8F97ED40775,경기도 수원시 장안구 율전동
