rank,name,lat,lon,category,category_name,review_count,review_rating,thumbnail,address
1,카마타케제면소 성균관대역사점,37.300148010253906,126.97225952148438,category_japanese,"돈까스,우동",80,4.22,http://t1.daumcdn.net/place/21D4D3ECE8724317B3AF3BA7BDB34E3C,경기도 수원시 장안구 율전동
2,포동이네 성대점,37.297950744628906,126.968994140625,category_japanese,"초밥,롤",27,4.03,http://t1.daumcdn.net/place/CB5EE781FF29413AAE6176774F7DF438,경기도 수원시 장안구 율전동
3,나츠비,37.297122955322266,126.9715805053711,category_japanese,일식,94,4.81,http://t1.kakaocdn.net/mystore/8A9AD100FAFD4EBB84B8CAB033679E78,경기도 수원시 장안구 율전동
4,본찌돈까스 성대점,37.29719161987305,126.97151947021484,category_japanese,"돈까스,우동",66,4.5,http://t1.daumcdn.net/place/721C3252A49B42E9A286C877E0A2A478,경기도 수원시 장안구 율전동
5,텐푸라바사바사,37.2969970703125,126.97095489501953,category_japanese,일식,24,4.45,http://t1.daumcdn.net/place/2DD560EEAE2E45019B2A2A59FFD1DBA6,경기도 수원시 장안구 율전동
6,미가라멘 성대본점,37.297733306884766,126.97183990478516,category_japanese,일본식라면,45,3.62,http://t1.daumcdn.net/place/9D3164968B114769B65B0C1F268CDD6D,경기도 수원시 장안구 율전동
7,일성,37.29753494262695,126.96867370605469,category_japanese,일식,23,4.08,http://t1.kakaocdn.net/mystore/BDE547B5516541EFA19EDB6DE05E8EB3,경기도 수원시 장안구 율전동
8,힌카쿠,37.2979850769043,126.97219848632812,category_japanese,일본식라면,40,3.17,http://t1.kakaocdn.net/fiy_reboot/place/493F065605A847F799B9A8036DFE88EE,경기도 수원시 장안구 율전동
9,키와마루아지 성균관대점,37.29696273803711,126.96871185302734,category_japanese,일본식라면,72,3.16,http://t1.daumcdn.net/localfiy/D615FA83E6AE4DB59E9DB943E1B49CF7,경기도 수원시 장안구 율전동
10,오늘우동 수원성대점,37.29810333251953,126.97248840332031,category_japanese,"돈까스,우동",7,4.14,http://t1.daumcdn.net/local/kakaomapPhoto/review/2152d3a73dc02e4b5bb8710ddf3bcd14d8f4bc6f?original,경기도 수원시 장안구 율전동
11,성대왕돈까스,37.29721450805664,126.97135925292969,category_japanese,"돈까스,우동",20,4.19,http://t1.daumcdn.net/local/kakaomapPhoto/review/4299fbd06ee0ee07b5710fac38f49620e8b91045?original,경기도 수원시 장안구 율전동
12,감스시,37.2982292175293,126.97041320800781,category_japanese,"초밥,롤",11,3.36,http://t1.daumcdn.net/cfile/1742EB3B4F72D3DD13,경기도 수원시 장안구 율전동
13,선참치,37.29705810546875,126.96903991699219,category_japanese,참치회,7,3.85,http://t1.daumcdn.net/cfile/1353473350188E2301,경기도 수원시 장안구 율전동
14,포크포크 매콤돈가스&칡불냉면,37.29681396484375,126.97136688232422,category_japanese,"돈까스,우동",18,2.94,http://t1.daumcdn.net/place/AF8462A9628F420B91D7BF16F1DCBEC9,경기도 수원시 장안구 율전동
15,스마일왕돈까스,37.29816818237305,126.96896362304688,category_japanese,"돈까스,우동",6,3.5,http://t1.daumcdn.net/local/kakaomapPhoto/review/1489c8d1c98a3d293067dbb31472492a3442546c?original,경기도 수원시 장안구 율전동
