rank,name,lat,lon,category,category_name,review_count,review_rating,thumbnail,address
1,경기수산직판장 성균관대점,37.298095703125,126.96868133544922,category_korean,회,35.0,4.62,http://t1.daumcdn.net/place/CD42181F66724559A6AA0F5CEAA68F0B,경기도 수원시 장안구 율전동
2,봉수육,37.29895782470703,126.96993255615234,category_korean,"족발,보쌈",82.0,4.08,http://t1.daumcdn.net/place/CE93EDC288154EA58AC66DFD1515C2A8,경기도 수원시 장안구 율전동
3,루미네숯불닭갈비,37.2991828918457,126.97101593017578,category_korean,닭요리,3.0,4.66,http://t1.daumcdn.net/place/B0D63E79FBCA4E94ABBEA5E875F32280,경기도 수원시 장안구 율전동
4,북한산조개구이,37.299049377441406,126.97132873535156,category_korean,조개,6.0,4.16,http://t1.daumcdn.net/cfile/140FAE425015E1AB01,경기도 수원시 장안구 율전동
5,상무네닭발집,37.29777908325195,126.96857452392578,category_korean,닭요리,1.0,3.0,http://t1.daumcdn.net/local/kakaomapPhoto/review/e421ac5c2a4140f1dd2dadbad6081c3f8c82aeff?original,경기도 수원시 장안구 율전동
6,한창희천하일면 수원성대점,37.29779815673828,126.9702377319336,category_korean,국수,62.0,4.67,http://t1.daumcdn.net/place/45BFC3976FB14E1F8FC0B8766AC631CE,경기도 수원시 장안구 율전동
7,청년밥상,37.29863357543945,126.97274017333984,category_korean,한식,44.0,3.43,http://t1.kakaocdn.net/fiy_reboot/place/222CAF9577C44BD385975812F5A89592,경기도 수원시 장안구 율전동
8,최고집 원조 수구레,37.29680252075195,126.9700698852539,category_korean,한식,24.0,4.29,http://t1.kakaocdn.net/mystore/AC537BA0B7554CE59DDDE7E4354BE1B1,경기도 수원시 장안구 율전동
9,율천회관,37.2978401184082,126.97297668457031,category_korean,한식,24.0,4.45,http://t1.daumcdn.net/place/298A143F5A1B4D48992EB0F9E14B996C,경기도 수원시 장안구 율전동
10,서울24시감자탕해장국,37.301509857177734,126.9725570678711,category_korean,감자탕,42.0,3.52,http://t1.daumcdn.net/place/5657C3A0472948FD9EFAD14B178EE243,경기도 수원시 장안구 율전동
11,지장수본가전주콩나물국밥 2호점,37.298336029052734,126.969482421875,category_korean,국밥,20.0,4.6,http://t1.daumcdn.net/place/C89C6F3D5D874E678E29A150B82C7F57,경기도 수원시 장안구 율전동
12,고기굽는교실 율전3반,37.29804992675781,126.96932220458984,category_korean,"육류,고기",50.0,4.54,http://t1.kakaocdn.net/mystore/638ADC08F77645BF83B7E41E6F895360,경기도 수원시 장안구 율전동
13,동네빈대떡 성대직영점,37.29700469970703,126.9685287475586,category_korean,한식,17.0,4.35,http://t1.daumcdn.net/place/D11DBF505A9543DF8A0D3C58397BBACB,경기도 수원시 장안구 율전동
14,담은샤브칼국수 직영1호점,37.29724884033203,126.969970703125,category_korean,칼국수,10.0,4.19,http://t1.daumcdn.net/place/530176B4154C4AB3BA753B8B9EB57FF0,경기도 수원시 장안구 율전동
15,오군포차 성대점,37.29889678955078,126.9725112915039,category_korean,한식,3.0,5.0,http://t1.daumcdn.net/place/D2F26BEF020940D2B699D47BDE014C95,경기도 수원시 장안구 율전동
16,히닭발,37.29789733886719,126.96949768066406,category_korean,닭요리,13.0,4.38,http://t1.daumcdn.net/localfiy/59B863E54AEC47D7B9179EDD68D491C5,경기도 수원시 장안구 율전동
17,부산산꼼장어,37.30157470703125,126.96975708007812,category_korean,장어,12.0,4.16,http://t1.kakaocdn.net/fiy_reboot/place/37A09F68DC4D41C9B21AB90C48C37FE5,경기도 수원시 장안구 율전동
18,더맛구이구이쪽갈비,37.29792022705078,126.97050476074219,category_korean,갈비,6.0,3.16,http://t1.kakaocdn.net/fiy_reboot/place/CB52CAD8F938425F95EAE6A87F321676,경기도 수원시 장안구 율전동
19,백령도생바지락칼국수,37.29758834838867,126.97039794921875,category_korean,칼국수,43.0,4.39,http://t1.daumcdn.net/local/kakaomapPhoto/review/3a5408669373e36db8063921ec1ed4621888743d?original,경기도 수원시 장안구 율전동
20,경복궁개성손만두메밀소바전문점 율전점,37.30208969116211,126.9725570678711,category_korean,"찌개,전골",21.0,3.28,http://t1.daumcdn.net/place/522427E362104BBB83D390FCBC2599EA,경기도 수원시 장안구 율전동
21,닥치고삼겹살 수원점,37.30109786987305,126.97219848632812,category_korean,삼겹살,17.0,4.76,http://t1.daumcdn.net/place/34E18597370F4C83B8D4196FF7FB4830,경기도 수원시 장안구 율전동
22,신화쭈꾸미 성대점,37.29804229736328,126.97184753417969,category_korean,"해물,생선",9.0,4.33,http://t1.daumcdn.net/local/kakaomapPhoto/review/ae9c467983cc84115a3b313a6b7cb70d4feb7bfc?original,경기도 수원시 장안구 율전동
23,영통찌개지존 성대점,37.29768371582031,126.97039794921875,category_korean,"찌개,전골",19.0,4.15,http://t1.daumcdn.net/place/691A7DFA219D4D028454FEF4EB42C7D6,경기도 수원시 장안구 율전동
24,정통집 수원성대점,37.29684066772461,126.96980285644531,category_korean,"육류,고기",12.0,3.33,http://t1.daumcdn.net/place/E3516CF65FA1408F82B4BED69B2FE99F,경기도 수원시 장안구 율전동
25,최가네,37.2979736328125,126.97313690185547,category_korean,한식,10.0,3.9,http://t1.daumcdn.net/place/F0BD8B86C2654CBBA15B7FC40E31E9DD,경기도 수원시 장안구 율전동
26,부자국밥,37.297752380371094,126.9702377319336,category_korean,국밥,14.0,4.42,http://t1.daumcdn.net/place/B2ECB850526E4C72AA3BA49EFA0BEFA5,경기도 수원시 장안구 율전동
27,성대족발보쌈,37.29697799682617,126.96919250488281,category_korean,"족발,보쌈",29.0,4.79,http://t1.daumcdn.net/place/59E945DA246C44E0ADEEF5E64040708D,경기도 수원시 장안구 율전동
28,육가든,37.297088623046875,126.96993255615234,category_korean,삼겹살,12.0,4.33,http://t1.daumcdn.net/place/D18FBDCFC9514A7DBB285565C765FC57,경기도 수원시 장안구 율전동
29,춘천닭갈비칡냉면,37.296966552734375,126.9698715209961,category_korean,닭요리,16.0,3.06,http://t1.daumcdn.net/place/DFBC628C9A4D4105B79D400DEACD5462,경기도 수원시 장안구 율전동
30,송원칼국수칡냉면,37.30143737792969,126.96969604492188,category_korean,칼국수,10.0,4.19,http://t1.daumcdn.net/place/2F78A3E77DF34F3F814701F2D37F31CD,경기도 수원시 장안구 율전동
31,태영생막창,37.2978630065918,126.96854400634766,category_korean,"곱창,막창",10.0,3.8,http://t1.daumcdn.net/place/6F4FCD17AE6442C185B41D3E68EAF1E5,경기도 수원시 장안구 율전동
32,정든닭발 성대점,37.297061920166016,126.97016143798828,category_korean,닭요리,20.0,4.05,http://t1.daumcdn.net/place/6F43D2BD6A194F199E335F7AC6622FAC,경기도 수원시 장안구 율전동
33,용수산횟집,37.30414962768555,126.97013092041016,category_korean,회,3.0,5.0,http://t1.daumcdn.net/place/6BE2A4F5DE7A473FA22DEAD81B11BBE3,경기도 수원시 장안구 율전동
34,육식,37.29764175415039,126.9688949584961,category_korean,"육류,고기",12.0,3.83,http://t1.kakaocdn.net/fiy_reboot/place/BAAD3F449E4F40F3939B352A30DC5729,경기도 수원시 장안구 율전동
35,부라보쪽갈비 성대점,37.299381256103516,126.97064208984375,category_korean,갈비,5.0,3.4,http://t1.daumcdn.net/place/B1B174278E144BAD97FC7DCDC4669C10,경기도 수원시 장안구 율전동
36,빨간석쇠구이 성대점,37.296974182128906,126.9686279296875,category_korean,닭요리,5.0,5.0,http://t1.kakaocdn.net/fiy_reboot/place/042AC0812FF64D1A80AFB91E19065574,경기도 수원시 장안구 율전동
37,황소마을곱창,37.29685592651367,126.96961975097656,category_korean,"곱창,막창",4.0,3.5,,경기도 수원시 장안구 율전동
38,우특심한우곱창 장안구율전점,37.297393798828125,126.96891784667969,category_korean,"곱창,막창",12.0,3.16,http://t1.daumcdn.net/place/26E92D37998B4F7C85BB919B1D93100A,경기도 수원시 장안구 율전동
39,예감쪽갈비 수원성대점,37.29758071899414,126.9690170288086,category_korean,갈비,,,http://t1.kakaocdn.net/fiy_reboot/place/EA0FF88414B74AA0ABC3FAC5DA818048,경기도 수원시 장안구 율전동
40,모범닭발&오돌뼈 성대점,37.298675537109375,126.97347259521484,category_korean,닭요리,4.0,5.0,http://t1.daumcdn.net/place/EE24671B6E554F47BAC037A5E0C92FDF,경기도 수원시 장안구 율전동
41,만다,37.29707717895508,126.96965026855469,category_korean,한식,45.0,4.51,http://t1.daumcdn.net/place/262C78FFCDA34D899CD87534C565313C,경기도 수원시 장안구 율전동
42,밥밥디라라 수원성균관대점,37.297401428222656,126.97162628173828,category_korean,한식,4.0,5.0,http://t1.daumcdn.net/place/73D232305EF0436E95AF68820227BA67,경기도 수원시 장안구 율전동
43,드럼통돌구이,37.29899978637695,126.96973419189453,category_korean,닭요리,20.0,4.25,http://t1.daumcdn.net/cfile/240F5B4855D3658001,경기도 수원시 장안구 율전동
44,알촌 성균관대점,37.2974967956543,126.97168731689453,category_korean,퓨전한식,18.0,2.72,http://t1.daumcdn.net/place/B54D58E0CD8048C28FE61E6873C997E6,경기도 수원시 장안구 율전동
45,성대곱창,37.2979621887207,126.9688720703125,category_korean,"곱창,막창",6.0,3.33,http://t1.daumcdn.net/place/C158B8CA1FD94AD19F0C74FB505466CC,경기도 수원시 장안구 율전동
46,회조아,37.29830551147461,126.96760559082031,category_korean,회,7.0,4.28,http://t1.kakaocdn.net/mystore/68FAC91425484E139BC3CC52C0737AB6,경기도 수원시 장안구 율전동
47,이층식당,37.2979850769043,126.97323608398438,category_korean,한식,5.0,5.0,http://t1.daumcdn.net/place/664D6DE8547140A593ADAAD423812F06,경기도 수원시 장안구 율전동
48,성대지붕,37.29848861694336,126.97014617919922,category_korean,한식,6.0,4.16,http://t1.kakaocdn.net/mystore/850BD995F58A44F785CDC6C556A8BFB8,경기도 수원시 장안구 율전동
